Learner 1,counter
0.0841372444712336,0
0.0083147944144557,0
0.0081076251964246,0
0.0079336896817031,0
0.007888554882137,0
0.0053630674593339,0
0.0050235460361249,0
0.0043615919988538,0
0.0037204842200743,0
0.0026432245869644,0
0.0024075440424236,0
0.0022236853349658,0
0.0018019522435842,0
0.0016044779755262,0
0.0012899874021664,0
0.0010514018720412,0
0.000946620300296,0
0.0009003063043826,0
0.0008693027615098,0
0.0007790513617047,0
0.0007739279013704,0
0.0007421458936712,0
0.0006625200078331,0
0.0005444008182048,0
0.0005303018426109,0
0.0005275030610338,0
0.0005062788232559,0
0.0005058019194035,0
0.000487896293741,0
0.0003783529455997,0
0.0003736275669829,0
0.0003646118468927,0
0.000331341604717,0
0.0003186042785728,0
0.0002918326871881,0
0.0002851585974126,0
0.0002590966666581,0
0.0002582991061449,0
0.0002579344327905,0
0.0002445232454788,0
0.0002075856379089,0
0.0001846753176825,0
0.0001754938419139,0
0.0001480196596445,0
0.0001417996929627,0
0.0001314895207249,0
0.0001255819924843,0
0.0001055891647006,0
0.000101596093575,0
9.792877146775902e-05,0
3.761706999784176e-05,0
3.195965594536832e-05,0
3.144063253998075e-05,0
1.258130132090196e-05,0
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
-4.222009266285909e-06,1
-4.97383003071894e-06,1
-2.1331409394076405e-05,1
-2.225865029349405e-05,1
-3.618995207430586e-05,1
-5.0798152819242494e-05,1
-5.2342823207618407e-05,1
-6.186997669078708e-05,1
-7.091370376183237e-05,1
-8.857691951461578e-05,1
-0.0001006595254428,1
-0.0001105857102222,1
-0.0001291776315793,1
-0.0001318717438449,1
-0.0001842818468083,1
-0.00019870750918,1
-0.0002011971007018,1
-0.0002067345151336,1
-0.0002341051547175,1
-0.0002738720431362,1
-0.0003061974783033,1
-0.0003642595760504,1
-0.0003839602410694,1
-0.0004634074059701,1
-0.0004858618058656,1
-0.0005350569202511,1
-0.0007144151587386,1
-0.0008467251414196,1
-0.0014836388260273,1
-0.0015018374728604,1
