name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,average_precision,0.2513089005235602,0.77
2_DecisionTree,Decision Tree,average_precision,0.6761081459841639,10.97
3_Linear,Linear,average_precision,0.7276301353491763,3.75
4_Default_Xgboost,Xgboost,average_precision,0.7431870896224368,6.64
5_Default_NeuralNetwork,Neural Network,average_precision,0.687984997796501,2.25
6_Default_RandomForest,Random Forest,average_precision,0.7721900476693898,5.69
6_Default_RandomForest_GoldenFeatures,Random Forest,average_precision,0.7701811911526385,7.9
4_Default_Xgboost_GoldenFeatures,Xgboost,average_precision,0.7525858051812252,4.83
3_Linear_GoldenFeatures,Linear,average_precision,0.734822575883571,3.49
6_Default_RandomForest_KMeansFeatures,Random Forest,average_precision,0.7743962200055764,6.59
4_Default_Xgboost_KMeansFeatures,Xgboost,average_precision,0.7337278204849791,6.19
3_Linear_KMeansFeatures,Linear,average_precision,0.7686547882135493,4.74
6_Default_RandomForest_KMeansFeatures_RandomFeature,Random Forest,average_precision,0.7659730964694476,3.91
6_Default_RandomForest_KMeansFeatures_SelectedFeatures,Random Forest,average_precision,0.7752382497847872,5.69
4_Default_Xgboost_GoldenFeatures_SelectedFeatures,Xgboost,average_precision,0.7526278743657839,6.01
5_Default_NeuralNetwork_SelectedFeatures,Neural Network,average_precision,0.6765996829047791,2.38
Ensemble,Ensemble,average_precision,0.7849864150399082,0.57
